pathway	source	metabolites
CS/DS degradation	Reactome	chebi:63519,kegg:C06472,chebi:63505,kegg:D04670,chebi:63517,chebi:63516,chebi:63868,kegg:C01132,kegg:C00059,chebi:63873,kegg:C00076,chebi:63515,kegg:C00001,chebi:63513,chebi:63511,chebi:63512
Chondroitin sulfate/dermatan sulfate metabolism	Reactome	chebi:63519,kegg:C01132,kegg:C00167,kegg:C00203,kegg:C00076,kegg:C00015,kegg:C00001,chebi:63512,kegg:C00190,chebi:63505,chebi:63516,kegg:C00052,kegg:C00034,chebi:63513,chebi:63517,chebi:63868,kegg:C00059,kegg:C00053,chebi:63873,kegg:C19610,kegg:C00054,kegg:D04670,chebi:63511,chebi:63515,kegg:C06472
EGFR interacts with phospholipase C-gamma	Reactome	kegg:C04637,kegg:C00008,kegg:C00434,kegg:C01245,kegg:C00165,kegg:C00002,kegg:C00013,kegg:C00076,kegg:C00575,kegg:C00020,kegg:C00001,kegg:C00305,kegg:C00003
GPCR downstream signaling	Reactome	kegg:C00009,kegg:C00062,kegg:C00163,chebi:73236,kegg:C00033,kegg:C08469,kegg:C06124,kegg:C00695,kegg:C00077,kegg:D05803,kegg:C09767,kegg:C00246,kegg:D06120,kegg:C09362,chebi:50122,kegg:C09345,kegg:C06533,kegg:C00547,kegg:C00388,chebi:73235,kegg:C02679,kegg:C00249,chebi:48923,kegg:C04637,kegg:D04824,chebi:73232,kegg:C08797,kegg:C20214,chebi:52450,kegg:C00026,kegg:C00015,kegg:C05851,kegg:C00008,kegg:C01598,kegg:C00780,kegg:C16537,kegg:C00253,kegg:C02737,kegg:C05332,kegg:C00186,kegg:C00042,kegg:C14732,kegg:C03990,kegg:C00696,kegg:C08449,kegg:C03514,kegg:C00058,kegg:C00116,kegg:C09084,kegg:C09071,kegg:C09529,kegg:D04430,chebi:351346,kegg:C02528,kegg:C07481,kegg:C00809,kegg:C00002,kegg:C18369,kegg:C00075,chebi:50042,kegg:C09256,kegg:C00029,kegg:C09472,chebi:73226,kegg:C00044,kegg:C00001,kegg:C01996,kegg:C00212,kegg:C07609,kegg:C03758,chebi:50114,kegg:C02165,chebi:73231,kegg:C00025,kegg:C00334,kegg:C05951,chebi:26948,kegg:C00305,kegg:C01245,kegg:C08778,kegg:D04429,kegg:C08325,kegg:C00035,kegg:C00575,kegg:C00020,chebi:73228,kegg:C13856,kegg:C00641,kegg:C00162,kegg:C09286,chebi:52288,kegg:C02166,kegg:C06186,chebi:73222,kegg:C00080,kegg:C04483,kegg:C00788,kegg:C00639,kegg:C00076,kegg:C01089,kegg:C00584,kegg:C02198,kegg:C09592,kegg:C08427,chebi:37098,kegg:C00047,kegg:C06522,kegg:C06314,kegg:C00219,kegg:C05952,kegg:C01312,kegg:C00013,kegg:C06526,kegg:C11596,kegg:C19317,kegg:C00712,kegg:C01451,chebi:58961,chebi:73239,kegg:C08794,chebi:31011,kegg:C00416,kegg:C01585,kegg:C00918,kegg:C07592,kegg:C05981
GRB2 events in EGFR signaling	Reactome	kegg:C00008,kegg:C04637,kegg:C00009,kegg:C19610,kegg:C00641,kegg:C00037,kegg:D03065,kegg:D05338,kegg:C00025,kegg:C00002,kegg:D05803,kegg:C00035,kegg:C00044,kegg:C00034,kegg:C00925,kegg:C00001,kegg:C00305,kegg:C00076
Glyoxylate metabolism	Reactome	kegg:C00022,kegg:C00080,kegg:C01342,kegg:C00016,kegg:C00005,kegg:C00006,kegg:C00041,kegg:C00007,kegg:C00061,kegg:C00209,kegg:C00037,kegg:C00160,kegg:C00027,kegg:C00001,kegg:C00048
trans-Golgi Network Vesicle Budding	Reactome	kegg:C00008,kegg:C11556,kegg:C00009,kegg:C00044,kegg:C00002,kegg:C00035
Triglyceride Biosynthesis	Reactome	kegg:C00681,kegg:C00009,kegg:C00040,kegg:C00658,kegg:C00011,kegg:C00005,kegg:C00149,kegg:C00001,kegg:C00008,kegg:C16218,kegg:C00036,kegg:C00004,kegg:C00002,kegg:C16217,kegg:C00154,kegg:C01086,kegg:C00422,kegg:C16529,chebi:63821,kegg:C02041,kegg:C00165,kegg:C00080,chebi:52977,kegg:C16216,kegg:C00024,chebi:52328,kegg:C00219,kegg:C00013,kegg:C00158,kegg:C02249,kegg:C00020,kegg:C00093,kegg:C00083,kegg:C00006,kegg:C00249,kegg:C00416,kegg:C00010,kegg:C00288,kegg:C00116,kegg:C01571,kegg:C00412,kegg:C00111,kegg:C00003
Removal of the Flap Intermediate from the C-strand	Reactome	kegg:C00419,kegg:C00144,kegg:C00105,kegg:C00020,kegg:C00055
propionyl-CoA degradation	HumanCyc	kegg:C00080,kegg:C00008,kegg:C00009,kegg:C00683,kegg:C00288,kegg:C00002,kegg:C00100,kegg:C00091,kegg:C01213
Processive synthesis on the C-strand of the telomere	Reactome	kegg:C00458,kegg:C00144,kegg:C00105,kegg:C00459,kegg:C00286,kegg:C00419,kegg:C00131,kegg:C00020,kegg:C00055
glycine cleavage	HumanCyc	kegg:C00440,kegg:C00080,kegg:C01342,kegg:C00234,kegg:C00143,kegg:C00004,kegg:C00037,kegg:C00101,kegg:C03479,kegg:C00011,kegg:C00003
Telomere C-strand (Lagging Strand) Synthesis	Reactome	kegg:C00008,kegg:C00458,kegg:C00131,kegg:C00063,kegg:C00044,kegg:C00002,kegg:C00105,kegg:C00459,kegg:C00075,kegg:C00286,kegg:C00419,kegg:C00144,kegg:C00020,kegg:C00055
Lactose synthesis	Reactome	kegg:C00243,kegg:C00052,kegg:C00267,kegg:C00034,kegg:C00015,kegg:C19610
L-glutamine tRNA biosynthesis	HumanCyc	kegg:C00080,kegg:C00008,kegg:C00009,kegg:C00064,kegg:C00025,kegg:C00002,kegg:C00013,kegg:C00020,kegg:C00001
COPI Mediated Transport	Reactome	kegg:C00044,kegg:C00035
Golgi to ER Retrograde Transport	Reactome	kegg:C00044,kegg:C00035
VEGFR2 mediated cell proliferation	Reactome	kegg:C04637,kegg:C00009,kegg:C00037,kegg:C00044,kegg:C00076,kegg:C00001,kegg:C00008,kegg:C06124,kegg:C00025,kegg:D05803,kegg:C00034,kegg:C00165,kegg:C00319,kegg:C01245,kegg:C00925,kegg:C00035,kegg:C00003,kegg:C00641,kegg:D05338,kegg:C00002,kegg:C00305,kegg:D03065,kegg:C19610
heme biosynthesis from uroporphyrinogen-III I	HumanCyc	kegg:C00080,kegg:C03263,kegg:C02191,kegg:C00007,kegg:C00011,kegg:C14818,kegg:C00027,kegg:C01079,kegg:C00001,kegg:C01051
GPCR signaling-G alpha i	INOH	kegg:C00044,kegg:C00035
tetrapyrrole biosynthesis	HumanCyc	kegg:C00080,kegg:C01342,kegg:C00011,kegg:C01024,kegg:C00010,kegg:C00931,kegg:C00037,kegg:C00091,kegg:C00430,kegg:C00001,kegg:C01051
heme biosynthesis	HumanCyc	kegg:C00080,kegg:C03263,kegg:C02191,kegg:C00007,kegg:C00430,kegg:C01342,kegg:C14818,kegg:C01024,kegg:C00010,kegg:C00931,kegg:C00011,kegg:C00091,kegg:C00027,kegg:C01079,kegg:C00001,kegg:C00037,kegg:C01051
lactose degradation III	HumanCyc	kegg:C00001,kegg:C00221,kegg:C00962,kegg:C00243
Growth hormone receptor signaling	Reactome	kegg:C00008,kegg:C00009,kegg:C00002,kegg:C00001
Aflatoxin activation and detoxification	Reactome	chebi:78583,kegg:C06800,kegg:C00005,chebi:78587,kegg:C00033,kegg:C19586,kegg:C00001,kegg:C19595,kegg:C00025,chebi:78580,kegg:C00051,chebi:78584,kegg:C00080,chebi:78578,kegg:C00007,chebi:78581,kegg:C00037,kegg:C00038,chebi:78585,chebi:53106,kegg:C00434,kegg:C00006,chebi:53108,chebi:53107,chebi:78579
TRAF3-dependent IRF activation pathway	Reactome	kegg:C00008,kegg:C00002,chebi:67208
Reduction of cytosolic Ca++ levels	Reactome	kegg:C00080,kegg:C00076,kegg:C01330
folate polyglutamylation	HumanCyc	kegg:C00101,kegg:C00008,kegg:C00009,kegg:C00234,kegg:C00143,kegg:C00440,kegg:C00037,kegg:C00025,kegg:C00002,kegg:C03479,kegg:C00065,kegg:C00001,kegg:C00058
PDGF receptor signaling network	PID	kegg:D03065
S1P5 pathway	PID	kegg:C00044,kegg:C00035,kegg:C06124
Caspase Cascade in Apoptosis	PID	kegg:C00076,kegg:C08698
LPA4-mediated signaling events	PID	kegg:C00575
thiamin salvage III	HumanCyc	kegg:C00080,kegg:C00378,kegg:C00020,kegg:C00002,kegg:C00068
Regulation of nuclear beta catenin signaling and target gene transcription	PID	kegg:C03917,kegg:C00535
Stabilization and expansion of the E-cadherin adherens junction	PID	kegg:C00044,kegg:C00035,kegg:C00076
Beta2 integrin cell surface interactions	PID	kegg:D06070,kegg:C00374,kegg:D06270,kegg:D02837,kegg:D03918,kegg:D03341
a4b7 Integrin signaling	PID	kegg:C00044
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	Reactome	kegg:C05955,kegg:C00051,kegg:C05359,chebi:63977,kegg:C05960,kegg:C00005,kegg:C05954,kegg:C00639,kegg:C00343,kegg:C14717,kegg:C05964,chebi:63976,kegg:C00584,chebi:63999,kegg:C00001,kegg:C05963,kegg:C19440,kegg:C00004,kegg:C05958,chebi:63975,kegg:C00080,kegg:C04758,kegg:C00007,kegg:C02198,kegg:C05959,kegg:C00696,kegg:C00219,kegg:C00427,kegg:C00003,kegg:C05956,kegg:C00006,kegg:C00032,chebi:30762,chebi:13719,kegg:C02918,kegg:C01312,kegg:C05953,kegg:C05961,kegg:C00342,kegg:C05957,kegg:C07589,kegg:C04707,kegg:C04671
Circadian rhythm pathway	PID	kegg:C00237,kegg:C00023,kegg:C00500
Canonical NF-kappaB pathway	PID	kegg:C00044
SHP2 signaling	PID	kegg:C00006,kegg:C00533,kegg:D00747,kegg:C00062,kegg:C00044,kegg:C00327,kegg:C00035,kegg:D03065
IL23-mediated signaling events	PID	kegg:D00747
Regulation of Ras family activation	PID	kegg:C00044,kegg:C00002,kegg:C00009,kegg:C00035,kegg:C00076
Glypican 3 network	PID	kegg:C00187
Regulation of CDC42 activity	PID	kegg:C00044,kegg:C00009,kegg:C00035
Regulation of RAC1 activity	PID	kegg:C00044,kegg:C00009,kegg:C00035
GMCSF-mediated signaling events	PID	kegg:C00044,kegg:D05803,kegg:C00035
IL27-mediated signaling events	PID	kegg:D00747
Factors involved in megakaryocyte development and platelet production	Reactome	kegg:C00008,kegg:C01272,kegg:C04520,kegg:C01243,chebi:9160,kegg:C00044,kegg:C00002,kegg:C01284,kegg:C00035,kegg:C00020,kegg:C04477
PAR4-mediated thrombin signaling events	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076
Signaling events mediated by HDAC Class II	PID	kegg:C00044
Signaling mediated by p38-alpha and p38-beta	PID	kegg:C00035
PAR1-mediated thrombin signaling events	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076
RAC1 signaling pathway	PID	kegg:C00044,kegg:C00035,kegg:C00076
Nectin adhesion pathway	PID	kegg:C00044,kegg:D03065,kegg:C00035
Glucocorticoid receptor regulatory network	PID	kegg:D05803,kegg:C00735,kegg:D00747
Alpha9 beta1 integrin signaling events	PID	chebi:30322,kegg:C00006,kegg:C00062,kegg:C00027,kegg:C00134,kegg:C00044,kegg:D05803,kegg:C00327,kegg:C00315,kegg:C00035,kegg:C00533,kegg:C00750,kegg:C00001
Neurotrophic factor-mediated Trk receptor signaling	PID	kegg:C00044,kegg:C00035
Aurora B signaling	PID	kegg:C00044,kegg:C00035
CD40/CD40L signaling	PID	kegg:C00038
TRAIL signaling pathway	PID	kegg:C00044
LPA receptor mediated events	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076,kegg:C00027
CXCR4-mediated signaling events	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076
TNF receptor signaling pathway 	PID	kegg:C07897
ErbB1 downstream signaling	PID	kegg:C01245,kegg:C00114,kegg:C00416,kegg:C00044,kegg:C00035,kegg:C00076
Validated nuclear estrogen receptor alpha network	PID	kegg:C00951
Synthesis of 15-eicosatetraenoic acid derivatives	Reactome	kegg:C00080,kegg:C00127,kegg:C00023,kegg:C00005,kegg:C04577,kegg:C00006,kegg:C00007,kegg:C00051,kegg:C00004,kegg:C04742,chebi:63989,kegg:C05966,kegg:C00219,kegg:C00003,kegg:C00001,kegg:C00032
CDC42 signaling events	PID	kegg:C00044,kegg:C00035,kegg:C00076,kegg:C00114,kegg:C00416
Insulin-mediated glucose transport	PID	kegg:C00044,kegg:C00182,kegg:C00076
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	PID	kegg:C00044,kegg:C01245,kegg:C00035,kegg:C00076
Glypican 1 network	PID	kegg:C00533,kegg:C00750
Recruitment of NuMA to mitotic centrosomes	Reactome	kegg:C00008,kegg:C00002
Recruitment of mitotic centrosome proteins and complexes	Reactome	kegg:C00008,kegg:C00002
Fc-epsilon receptor I signaling in mast cells	PID	kegg:C00114,kegg:C00416,kegg:C00044,kegg:C00035,kegg:C00076,kegg:C05086,kegg:C00157,kegg:D04682
Prolactin receptor signaling	Reactome	kegg:C00008,kegg:C00002,kegg:C00038
Visual signal transduction: Rods	PID	kegg:C00008,kegg:C00238,kegg:C00009,kegg:C00942,kegg:C00035,kegg:C00044,kegg:C00002,kegg:C00376,kegg:C00076,kegg:D04682,kegg:C00157,kegg:C01330
Internalization of ErbB1	PID	kegg:C00044,kegg:C00035
[2Fe-2S] iron-sulfur cluster biosynthesis	HumanCyc	kegg:C00008,kegg:C00009,kegg:C00041,kegg:C00097,kegg:C14819,kegg:C00002
N-cadherin signaling events	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076,kegg:C13856
EGFR downregulation	Reactome	kegg:C04637,kegg:C00044,kegg:C00002,kegg:C00008
Signaling by EGFR	Reactome	kegg:C04637,kegg:C00009,kegg:C00037,kegg:D03065,kegg:C00044,kegg:C00076,kegg:C00001,kegg:C00008,kegg:C00025,kegg:D05803,kegg:C00034,kegg:C00165,kegg:C01245,kegg:C00925,kegg:C00035,kegg:C00003,kegg:C00575,kegg:C00020,kegg:C00038,kegg:C00434,kegg:C00641,kegg:D05338,kegg:C00002,kegg:C00305,kegg:C00013,kegg:C05981,kegg:C19610
Coregulation of Androgen receptor activity	PID	kegg:C03917,kegg:C00535
Regulation of KIT signaling	Reactome	kegg:C00008,kegg:C00002
Signaling by SCF-KIT	Reactome	kegg:C00008,kegg:C04637,kegg:C00009,kegg:C00044,kegg:C00641,kegg:C00037,kegg:D03065,kegg:D05338,kegg:C00025,kegg:C00002,kegg:D05803,kegg:C00035,kegg:C00076,kegg:C00034,kegg:C00925,kegg:C00001,kegg:C05981,kegg:C00305,kegg:C19610
Endogenous TLR signaling	PID	kegg:C00044,kegg:C00035
Regulation of Telomerase	PID	kegg:D00747
Beta5 beta6 beta7 and beta8 integrin cell surface interactions	PID	kegg:D06270,kegg:D03341
Signaling events mediated by focal adhesion kinase	PID	kegg:C00044,kegg:C00009,kegg:C00035
Class I PI3K signaling events	PID	kegg:C00044,kegg:C00035,kegg:C01272,kegg:C01245,kegg:C00076
BCR signaling pathway	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076
Signaling events mediated by TCPTP	PID	kegg:D03065,kegg:C00027
Retinoic acid receptors-mediated signaling	PID	kegg:C05443,kegg:C15493
ketogenesis	HumanCyc	kegg:C00080,kegg:C00164,kegg:C00356,kegg:C00207,kegg:C00004,kegg:C00332,kegg:C00011,kegg:C00010,kegg:C00024,kegg:C01089,kegg:C00001,kegg:C00003
Digestion of dietary lipid	Reactome	kegg:C05465,kegg:C00473,kegg:C02528,kegg:C02112,kegg:C01921,kegg:C00249,kegg:C00116,kegg:C05122,kegg:C00695,kegg:C02530,kegg:C00422,kegg:C00638,kegg:C00187,kegg:C02588,kegg:C00001,kegg:C05466,kegg:C00165
Thromboxane A2 receptor signaling	PID	kegg:C00942,kegg:C01312,kegg:C01245,kegg:C00006,kegg:C00533,kegg:C00062,kegg:C00696,kegg:C00044,kegg:C00327,kegg:C00035,kegg:C00076,kegg:C02198
AP-1 transcription factor network	PID	kegg:D06270,kegg:C00735,kegg:D03341,kegg:D00747,kegg:D05803
PLK1 signaling events	PID	kegg:C00044
Golgi Associated Vesicle Biogenesis	Reactome	kegg:C00044,kegg:C00008,kegg:C00002,kegg:C00009,kegg:C00035
TCR signaling in na&#xef;ve CD8+ T cells	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	Reactome	kegg:C00080,kegg:C00006,chebi:63998,kegg:C14748,kegg:C00007,kegg:C00005,kegg:C00219,chebi:63995,chebi:63994,kegg:C00001,chebi:63579
Arachidonic acid metabolism	Reactome	chebi:63998,kegg:C14812,kegg:C14717,kegg:C14769,kegg:C14773,kegg:C05954,chebi:63984,kegg:C05949,kegg:C04671,kegg:C00004,chebi:63982,chebi:63579,kegg:C00080,kegg:C04758,chebi:63977,kegg:C05959,chebi:63989,kegg:C00003,kegg:C04853,kegg:C06314,kegg:C04577,chebi:13719,kegg:C05953,chebi:63994,kegg:C04707,kegg:C14748,kegg:C14777,kegg:C00037,kegg:C14822,kegg:C05950,kegg:C04742,chebi:63999,kegg:C05963,kegg:C14768,kegg:C14770,kegg:C14732,kegg:C05955,chebi:63985,chebi:63983,kegg:C00007,kegg:C00696,kegg:C05966,chebi:63976,kegg:C02165,kegg:C04843,kegg:C05356,chebi:63990,kegg:C05960,kegg:C00342,kegg:C05965,kegg:C00051,chebi:63995,kegg:C14808,kegg:C00001,kegg:C06315,kegg:C00427,kegg:C14774,kegg:C05359,kegg:C00025,kegg:C05951,kegg:C00305,chebi:63992,chebi:63979,kegg:C14771,kegg:C00038,kegg:C05956,chebi:63986,kegg:C00006,chebi:30762,kegg:C02918,kegg:C00639,kegg:C05961,kegg:C02166,kegg:C14772,kegg:C00032,kegg:C00909,kegg:C00023,chebi:63991,kegg:C00005,chebi:63981,kegg:C14807,kegg:C00343,kegg:C00076,kegg:C05964,kegg:C00584,kegg:C02198,kegg:C00127,kegg:C01312,kegg:C14810,kegg:C19440,kegg:C05958,chebi:63975,kegg:C04805,kegg:C14775,kegg:C00219,kegg:C05952,kegg:C04230,kegg:C00157,chebi:63993,kegg:C14811,kegg:C05957,kegg:C07589
amb2 Integrin signaling	PID	kegg:D06270,kegg:D06070,kegg:C00044,kegg:D02837,kegg:C00035,kegg:D03341
NGF processing	Reactome	kegg:C00076
FOXA1 transcription factor network	PID	kegg:C03917,kegg:C00951,kegg:C15493
Beta3 integrin cell surface interactions	PID	kegg:D06270,kegg:D03065,kegg:D03341
Noncanonical Wnt signaling pathway	PID	kegg:C00044,kegg:C00035,kegg:C00076
Regulation of p38-alpha and p38-beta	PID	kegg:C00044,kegg:C00942
CXCR3-mediated signaling events	PID	kegg:C00044,kegg:C00035,kegg:C00076
S1P4 pathway	PID	kegg:C00044,kegg:C00035,kegg:C06124
E-cadherin signaling in keratinocytes	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076
p75(NTR)-mediated signaling	PID	kegg:C00044,kegg:C00035
HIF-2-alpha transcription factor network	PID	kegg:D03231,kegg:D03651
EPHB forward signaling	PID	kegg:C00044,kegg:C00035
Integrin-linked kinase signaling	PID	kegg:C00044,kegg:C00035,chebi:29035
HIF-1-alpha transcription factor network	PID	kegg:D03231,kegg:D03651
p38 MAPK signaling pathway	PID	kegg:C00076
IGF1 pathway	PID	kegg:C00044,kegg:C00035
Regulation of Androgen receptor activity	PID	kegg:C03917,kegg:C15493,kegg:C00535
Sumoylation by RanBP2 regulates transcriptional repression	PID	kegg:C00044
Arf6 signaling events	PID	kegg:C00044,kegg:C00009,kegg:C00035,kegg:C00416
Signaling events mediated by Stem cell factor receptor (c-Kit)	PID	kegg:C00044,kegg:D03651,kegg:D03231,kegg:C00035
Trafficking of dietary sterols	Reactome	kegg:C00008,kegg:C00009,kegg:C00002,kegg:D01966,kegg:C00187,chebi:26125,kegg:C00001
Hyaluronan biosynthesis and export	Reactome	kegg:C00518
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling	PID	kegg:D06270,kegg:C00044,kegg:D03341,kegg:C00035
Signaling events regulated by Ret tyrosine kinase	PID	kegg:C00044,kegg:C00035
Nongenotropic Androgen signaling	PID	kegg:C03917,kegg:C01245,kegg:C00044,kegg:C00035,kegg:C00076,kegg:C00535
Arf6 downstream pathway	PID	kegg:C00044,chebi:61048,kegg:C00035,kegg:C00114,kegg:C00416
Alpha-synuclein signaling	PID	kegg:C01375,kegg:C03758,kegg:C01245
Alpha4 beta1 integrin signaling events	PID	kegg:C00044,kegg:C00009,kegg:C00035,kegg:C00575
FoxO family signaling	PID	kegg:C00044,kegg:C00035
Role of Calcineurin-dependent NFAT signaling in lymphocytes	PID	kegg:C01375,kegg:C00076
D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	HumanCyc	kegg:C00008,kegg:C00080,kegg:C01245,pubchem-compound:52940091,kegg:C00137,kegg:C04248,chebi:72835,kegg:C00002,chebi:82929,kegg:C00001,chebi:76537,chebi:77190,kegg:C00055
Trk receptor signaling mediated by PI3K and PLC-gamma	PID	kegg:C00044,kegg:C01245,kegg:C00076
a6b1 and a6b4 Integrin signaling	PID	kegg:C00044,kegg:C15493,kegg:C00035
Signaling by FGFR1 amplification mutants	Reactome	kegg:C00008,chebi:65138,chebi:63453,kegg:C00002,chebi:63451,chebi:63449,chebi:63448
Validated nuclear estrogen receptor beta network	PID	kegg:C00951
PDGFR-beta signaling pathway	PID	kegg:C00009,kegg:C01245,kegg:C00044,kegg:C00035,kegg:C00076,kegg:D03065,kegg:C00319
IL1-mediated signaling events	PID	kegg:D02934
IL4-mediated signaling events	PID	kegg:D03058,kegg:D02597,kegg:D03639,kegg:D03257,kegg:D05251,kegg:D02598,kegg:D08621,kegg:D03455,kegg:D02994
C-MYB transcription factor network	PID	kegg:C00044,kegg:C00777
Signaling events mediated by PTP1B	PID	kegg:D03065,kegg:C00027
Validated transcriptional targets of AP1 family members Fra1 and Fra2	PID	kegg:D06270,kegg:D03341
IL2-mediated signaling events	PID	kegg:C00044,kegg:D00747,kegg:C00035
Regulation of retinoblastoma protein	PID	kegg:D05803,kegg:C00076
Signaling events mediated by HDAC Class I	PID	kegg:C00044
EPHA2 forward signaling	PID	kegg:C00044,kegg:C00035,kegg:C06124
FOXA2 and FOXA3 transcription factor networks	PID	kegg:D05424,kegg:D02794,kegg:D06479,kegg:D02796
Trk receptor signaling mediated by the MAPK pathway	PID	kegg:C00044
Ephrin B reverse signaling	PID	kegg:C00044,kegg:C00035
Anchoring of the basal body to the plasma membrane	Reactome	kegg:C00044,kegg:C00035
Hedgehog signaling events mediated by Gli proteins	PID	kegg:C00044,kegg:C00035,kegg:C00187
Lissencephaly gene (LIS1) in neuronal migration and development	PID	kegg:C00076
Signaling events mediated by the Hedgehog family	PID	kegg:C05443,kegg:C00187
Sphingosine 1-phosphate (S1P) pathway	PID	kegg:C00018,kegg:D05784,kegg:C01120,kegg:C00319,kegg:C06124
Syndecan-4-mediated signaling events	PID	kegg:C00044,kegg:C00035
IFN-gamma pathway	PID	kegg:C00044,kegg:D00747,kegg:C00035,kegg:C00076
Regulation of nuclear SMAD2/3 signaling	PID	kegg:D00746
IL6-mediated signaling events	PID	kegg:C00044,kegg:C00035
CHL1 interactions	Reactome	kegg:C00008
phenylalanine degradation/tyrosine biosynthesis	HumanCyc	kegg:C00080,kegg:C00272,kegg:C02953,kegg:C00007,kegg:C00004,kegg:C00079,kegg:C00003,kegg:C15522,kegg:C00082,kegg:C00001,pubchem-compound:5702551
EGFR-dependent Endothelin signaling events	PID	kegg:C00044,kegg:C00035,kegg:C00076
Ras signaling in the CD4+ TCR pathway	PID	kegg:C00044
Endothelins	PID	kegg:C00044,kegg:C00238,kegg:C00035,kegg:C01245,kegg:C00076
IL8- and CXCR2-mediated signaling events	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076
FGF signaling pathway	PID	kegg:D06270,kegg:C00002,kegg:C01245,kegg:C00076,kegg:D03341
Signaling events mediated by VEGFR1 and VEGFR2	PID	kegg:C01245,kegg:C00006,kegg:C00533,kegg:C00062,kegg:C00044,kegg:C00327,kegg:C00035,kegg:C00076
Notch signaling pathway	PID	kegg:C00044
TCR signaling in na&#xef;ve CD4+ T cells	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076
E2F transcription factor network	PID	kegg:D06270,kegg:D03341
Rapid glucocorticoid signaling	PID	kegg:C00044,kegg:C00735,kegg:C00035
Nephrin/Neph1 signaling in the kidney podocyte	PID	kegg:C00044,kegg:C00035,kegg:C01245,kegg:C00076,kegg:C00187
Ceramide signaling pathway	PID	kegg:C01945,kegg:C00319
PDGFR-alpha signaling pathway	PID	kegg:C01245,kegg:C00076
IL12-mediated signaling events	PID	kegg:D00747
Posttranslational regulation of adherens junction stability and dissassembly	PID	kegg:C00044,kegg:C00035,kegg:C00076
Plexin-D1 Signaling	PID	kegg:C00044,kegg:C00035
Loss of Nlp from mitotic centrosomes	Reactome	kegg:C00008,kegg:C00002
Loss of proteins required for interphase microtubule organizationfrom the centrosome	Reactome	kegg:C00008,kegg:C00002
Centrosome maturation	Reactome	kegg:C00008,kegg:C00002
G2/M Transition	Reactome	kegg:C00009,kegg:C00008,kegg:C00002,kegg:C00001,kegg:C00044
Mitotic G2-G2/M phases	Reactome	kegg:C00009,kegg:C00008,kegg:C00002,kegg:C00001,kegg:C00044
Calcium signaling in the CD4+ TCR pathway	PID	kegg:D00747,kegg:D05803,kegg:C01375,kegg:C00076
E-cadherin signaling in the nascent adherens junction	PID	kegg:C00044,kegg:C00035,kegg:C00076
EPHA forward signaling	PID	kegg:C00044,kegg:C00035
Syndecan-2-mediated signaling events	PID	kegg:D05803
RhoA signaling pathway	PID	kegg:C00044
Arf1 pathway	PID	chebi:48080,kegg:C00114,kegg:C00416,kegg:C00044,kegg:C00002,kegg:C00035
Regulation of RhoA activity	PID	kegg:C00044,kegg:C00009,kegg:C00035
Cellular roles of Anthrax toxin	PID	kegg:C00533,kegg:C00002,kegg:C00076,kegg:C00575
S1P2 pathway	PID	kegg:C00044,kegg:C00035,kegg:C00076,kegg:C06124
p75NTR recruits signalling complexes	Reactome	kegg:C00008,kegg:C00002
DNA-PK pathway in nonhomologous end joining	PID	kegg:C01204
Arachidonic acid metabolism	EHMN	kegg:C00909,kegg:C00009,kegg:C06254,kegg:C14748,kegg:C00051,kegg:C14772,kegg:C00005,kegg:C14779,kegg:C00030,kegg:C14769,kegg:C14773,kegg:C00001,kegg:C14778,kegg:C00127,kegg:C14774,kegg:C00004,kegg:C00028,kegg:C06315,kegg:C14768,kegg:C14770,kegg:C06314,kegg:C04805,kegg:C14781,kegg:C00080,kegg:C14782,kegg:C13856,kegg:C00016,kegg:C14775,kegg:C00007,kegg:C00024,kegg:C00219,kegg:C00008,kegg:C14771,kegg:C00116,kegg:C00003,kegg:C00020,kegg:C00157,kegg:C04843,kegg:C05356,kegg:C04849,kegg:C00006,kegg:C01352,kegg:C14814,kegg:C14749,kegg:C05966,kegg:C04742,kegg:C00010,kegg:C00002,kegg:C14813,kegg:C00027,kegg:C00013,kegg:C05965,kegg:C01330
Chylomicron-mediated lipid transport	Reactome	kegg:C00865,kegg:C02530,kegg:C00422,kegg:C00638,kegg:C00187,kegg:C00165
spermine and spermidine degradation I	HumanCyc	kegg:C00080,kegg:C00007,kegg:C02567,kegg:C00134,kegg:C00024,kegg:C18170,kegg:C00010,kegg:C00315,kegg:C00750,kegg:C00027,kegg:C00612,kegg:C00001,chebi:58374
